cycle,t,i,i_m,v_C
0,1.00E-07,0.571428571,0,0
0,2.00E-07,1.141510722,6.61E-05,0.005602241
0,3.00E-07,1.710239213,0.000199608,0.016792875
0,4.00E-07,2.277606851,0.00040203,0.033557969
0,5.00E-07,2.843606484,0.000674733,0.055883506
0,6.00E-07,3.408231007,0.001019111,0.083755386
0,7.00E-07,3.971473357,0.001436554,0.117159425
0,8.00E-07,4.533326517,0.001928448,0.156081354
0,9.00E-07,5.093783513,0.002496173,0.200506825
0,1.00E-06,5.652837416,0.003141103,0.250421407
0,1.10E-06,6.210481339,0.003864609,0.305810587
0,1.20E-06,6.766708444,0.004668056,0.36665977
0,1.30E-06,7.321511933,0.005552804,0.432954284
0,1.40E-06,7.874885055,0.006520208,0.504679373
0,1.50E-06,8.426821103,0.007571617,0.581820205
0,1.60E-06,8.977313413,0.008708377,0.664361867
0,1.70E-06,9.526355368,0.009931827,0.752289367
0,1.80E-06,10.07394039,0.011243301,0.845587637
0,1.90E-06,10.62006196,0.01264413,0.94424153
0,2.00E-06,11.16471359,0.014135637,1.048235823
0,2.10E-06,11.70788883,0.015719141,1.157555214
0,2.20E-06,12.2495813,0.017395956,1.272184329
0,2.30E-06,12.78978464,0.019167392,1.392107715
0,2.40E-06,13.32849255,0.02103475,1.517309844
0,2.50E-06,13.86569877,0.02299933,1.647775117
0,2.60E-06,14.40139708,0.025062424,1.783487857
0,2.70E-06,14.93558131,0.02722532,1.924432314
0,2.80E-06,15.46824535,0.029489301,2.070592667
0,2.90E-06,15.99938309,0.031855643,2.22195302
0,3.00E-06,16.52898852,0.034325619,2.378497407
0,3.10E-06,17.05705564,0.036900494,2.540209788
0,3.20E-06,17.58357851,0.039581529,2.707074055
0,3.30E-06,18.10855121,0.042369982,2.879074025
0,3.40E-06,18.63196791,0.045267101,3.056193449
0,3.50E-06,19.15382279,0.048274132,3.238416006
0,3.60E-06,19.67411008,0.051392314,3.425725306
0,3.70E-06,20.19282406,0.054622882,3.618104892
0,3.80E-06,20.70995907,0.057967065,3.815538237
0,3.90E-06,21.22550946,0.061426085,4.018008747
0,4.00E-06,21.73946966,0.06500116,4.22549976
0,4.10E-06,22.25183412,0.068693503,4.43799455
0,4.20E-06,22.76259735,0.072504322,4.65547632
0,4.30E-06,23.27175391,0.076434816,4.877928213
0,4.40E-06,23.77929839,0.080486182,5.105333302
0,4.50E-06,24.28522542,0.084659612,5.337674598
0,4.60E-06,24.78952971,0.088956288,5.574935047
0,4.70E-06,25.29220598,0.093377391,5.817097532
0,4.80E-06,25.793249,0.097924095,6.064144871
0,4.90E-06,26.2926536,0.102597568,6.316059821
0,5.00E-06,26.79041466,0.107398972,6.572825076
0,5.10E-06,27.28652707,0.112329464,6.834423269
0,5.20E-06,27.78098581,0.117390197,7.100836971
0,5.30E-06,28.27378587,0.122582315,7.372048693
0,5.40E-06,28.76492231,0.12790696,7.648040885
0,5.50E-06,29.25439021,0.133365265,7.928795937
0,5.60E-06,29.74218472,0.138958359,8.214296182
0,5.70E-06,30.22830103,0.144687367,8.504523891
0,5.80E-06,30.71273436,0.150553404,8.79946128
0,5.90E-06,31.19548,0.156557585,9.099090505
0,6.00E-06,31.67653326,0.162701014,9.403393666
0,6.10E-06,32.1558895,0.168984793,9.712352806
0,6.20E-06,32.63354415,0.175410016,10.02594991
0,6.30E-06,33.10949265,0.181977772,10.34416691
0,6.40E-06,33.58373051,0.188689145,10.66698569
0,6.50E-06,34.05625328,0.195545213,10.99438805
0,6.60E-06,34.52705656,0.202547047,11.32635578
0,6.70E-06,34.99613597,0.209695714,11.66287058
0,6.80E-06,35.4634872,0.216992274,12.00391411
0,6.90E-06,35.92910598,0.224437782,12.34946798
0,7.00E-06,36.39298809,0.232033287,12.69951375
0,7.10E-06,36.85512935,0.239779831,13.05403291
0,7.20E-06,37.31552561,0.247678453,13.41300693
0,7.30E-06,37.77417279,0.255730184,13.77641719
0,7.40E-06,38.23106684,0.263936049,14.14424506
0,7.50E-06,38.68620377,0.272297068,14.51647183
0,7.60E-06,39.13957961,0.280814255,14.89307876
0,7.70E-06,39.59119046,0.289488619,15.27404705
0,7.80E-06,40.04103246,0.298321162,15.65935785
0,7.90E-06,40.48910177,0.30731288,16.04899228
0,8.00E-06,40.93539464,0.316464764,16.44293138
0,8.10E-06,41.37990732,0.325777798,16.84115619
0,8.20E-06,41.82263614,0.335252963,17.24364765
0,8.30E-06,42.26357745,0.34489123,17.6503867
0,8.40E-06,42.70272765,0.354693566,18.06135422
0,8.50E-06,43.14008321,0.364660934,18.47653102
0,8.60E-06,43.57564062,0.374794288,18.89589791
0,8.70E-06,44.0093964,0.385094578,19.31943561
0,8.80E-06,44.44134716,0.395562746,19.74712485
0,8.90E-06,44.87148951,0.406199732,20.17894626
0,9.00E-06,45.29982014,0.417006466,20.61488048
0,9.10E-06,45.72633576,0.427983874,21.05490806
0,9.20E-06,46.15103313,0.439132876,21.49900955
0,9.30E-06,46.57390907,0.450454386,21.94716544
0,9.40E-06,46.99496043,0.461949311,22.39935617
0,9.50E-06,47.4141841,0.473618554,22.85556216
0,9.60E-06,47.83157703,0.48546301,23.31576378
0,9.70E-06,48.2471362,0.497483569,23.77994137
0,9.80E-06,48.66085865,0.509681116,24.24807522
0,9.90E-06,49.07274145,0.522056528,24.72014559
0,1.00E-05,49.48278172,0.534610678,25.1961327
0,1.01E-05,49.89097663,0.547344431,25.67601673
0,1.02E-05,50.29732338,0.560258648,26.15977783
0,1.03E-05,50.70181924,0.573354182,26.64739611
0,1.04E-05,51.10446149,0.586631882,27.13885165
0,1.05E-05,51.50524747,0.60009259,27.63412449
0,1.06E-05,51.90417459,0.613737142,28.13319463
0,1.07E-05,52.30124026,0.627566367,28.63604206
0,1.08E-05,52.69644195,0.641581091,29.1426467
0,1.09E-05,53.0897772,0.65578213,29.65298848
0,1.10E-05,53.48124355,0.670170297,30.16704725
0,1.11E-05,53.87083862,0.684746398,30.68480287
0,1.12E-05,54.25856005,0.699511233,31.20623515
0,1.13E-05,54.64440555,0.714465595,31.73132386
0,1.14E-05,55.02837284,0.729610272,32.26004876
0,1.15E-05,55.41045972,0.744946048,32.79238957
0,1.16E-05,55.79066399,0.760473696,33.32832598
0,1.17E-05,56.16898354,0.776193987,33.86783765
0,1.18E-05,56.54541628,0.792107684,34.41090422
0,1.19E-05,56.91996016,0.808215546,34.95750528
0,1.20E-05,57.29261318,0.824518323,35.50762042
0,1.21E-05,57.66337339,0.841016761,36.0612292
0,1.22E-05,58.03223886,0.857711601,36.61831113
0,1.23E-05,58.39920774,0.874603574,37.17884571
0,1.24E-05,58.76427819,0.891693409,37.74281241
0,1.25E-05,59.12744843,0.908981827,38.3101907
0,1.26E-05,59.48871672,0.926469543,38.88095998
0,1.27E-05,59.84808136,0.944157266,39.45509965
0,1.28E-05,60.20554069,0.9620457,40.03258911
0,1.29E-05,60.56109311,0.980135541,40.61340768
0,1.30E-05,60.91473705,0.998427481,41.19753472
0,1.31E-05,61.26647097,1.016922204,41.78494952
0,1.32E-05,61.61629341,1.035620389,42.37563137
0,1.33E-05,61.9642029,1.05452271,42.96955954
0,1.34E-05,62.31019807,1.073629832,43.56671326
0,1.35E-05,62.65427755,1.092942417,44.16707178
0,1.36E-05,62.99644003,1.112461119,44.77061428
0,1.37E-05,63.33668423,1.132186586,45.37731995
0,1.38E-05,63.67500894,1.152119462,45.98716797
0,1.39E-05,64.01141297,1.172260382,46.60013747
0,1.40E-05,64.34589517,1.192609977,47.2162076
0,1.41E-05,64.67845443,1.213168871,47.83535745
0,1.42E-05,65.00908971,1.233937683,48.45756613
0,1.43E-05,65.33779998,1.254917024,49.08281272
0,1.44E-05,65.66458427,1.2761075,49.71107628
0,1.45E-05,65.98944165,1.297509712,50.34233586
0,1.46E-05,66.31237122,1.319124254,50.97657048
0,1.47E-05,66.63337213,1.340951713,51.61375918
0,1.48E-05,66.95244358,1.362992672,52.25388095
0,1.49E-05,67.2695848,1.385247705,52.89691478
0,1.50E-05,67.58479505,1.407717384,53.54283965
0,1.51E-05,67.89807367,1.43040227,54.19163453
0,1.52E-05,68.20942001,1.453302923,54.84327837
0,1.53E-05,68.51883345,1.476419894,55.49775011
0,1.54E-05,68.82631346,1.499753728,56.15502867
0,1.55E-05,69.1318595,1.523304965,56.81509298
0,1.56E-05,69.43547109,1.547074138,57.47792195
1,1.57E-05,69.16571924,1.571061775,58.14349447
1,1.58E-05,68.89537853,1.59520233,58.80618719
1,1.59E-05,68.62445585,1.61949491,59.46599284
1,1.60E-05,68.35295807,1.64393862,60.12290422
1,1.61E-05,68.08089208,1.668532562,60.77691421
1,1.62E-05,67.80826475,1.693275838,61.42801578
1,1.63E-05,67.53508293,1.718167551,62.07620194
1,1.64E-05,67.26135351,1.7432068,62.72146582
1,1.65E-05,66.98708334,1.768392684,63.36380059
1,1.66E-05,66.71227928,1.793724301,64.00319952
1,1.67E-05,66.43694817,1.819200749,64.63965594
1,1.68E-05,66.16109688,1.844821124,65.27316327
1,1.69E-05,65.88473223,1.87058452,65.90371499
1,1.70E-05,65.60786107,1.896490032,66.53130467
1,1.71E-05,65.33049024,1.922536754,67.15592596
1,1.72E-05,65.05262656,1.948723777,67.77757256
1,1.73E-05,64.77427686,1.975050193,68.39623828
1,1.74E-05,64.49544796,2.001515094,69.01191697
1,1.75E-05,64.21614666,2.028117568,69.62460258
1,1.76E-05,63.93637978,2.054856706,70.23428914
1,1.77E-05,63.65615413,2.081731595,70.84097074
1,1.78E-05,63.37547649,2.108741322,71.44464155
1,1.79E-05,63.09435366,2.135884975,72.04529582
1,1.80E-05,62.81279242,2.16316164,72.64292786
1,1.81E-05,62.53079956,2.190570402,73.23753209
1,1.82E-05,62.24838184,2.218110346,73.82910296
1,1.83E-05,61.96554603,2.245780555,74.41763504
1,1.84E-05,61.68229889,2.273580113,75.00312293
1,1.85E-05,61.39864719,2.301508103,75.58556135
1,1.86E-05,61.11459765,2.329563607,76.16494507
1,1.87E-05,60.83015702,2.357745707,76.74126893
1,1.88E-05,60.54533204,2.386053483,77.31452787
1,1.89E-05,60.26012943,2.414486015,77.88471687
1,1.90E-05,59.97455591,2.443042385,78.45183102
1,1.91E-05,59.68861818,2.471721672,79.01586547
1,1.92E-05,59.40232296,2.500522953,79.57681543
1,1.93E-05,59.11567695,2.529445308,80.13467622
1,1.94E-05,58.82868682,2.558487815,80.6894432
1,1.95E-05,58.54135926,2.587649552,81.24111181
1,1.96E-05,58.25370094,2.616929596,81.78967759
1,1.97E-05,57.96571852,2.646327023,82.33513614
1,1.98E-05,57.67741867,2.67584091,82.87748311
1,1.99E-05,57.38880803,2.705470333,83.41671427
1,2.00E-05,57.09989324,2.735214369,83.95282542
1,2.01E-05,56.81068094,2.765072092,84.48581247
1,2.02E-05,56.52117773,2.795042578,85.01567138
1,2.03E-05,56.23139025,2.825124902,85.54239819
1,2.04E-05,55.94132508,2.855318139,86.06598903
1,2.05E-05,55.65098884,2.885621364,86.58644008
1,2.06E-05,55.3603881,2.916033649,87.1037476
1,2.07E-05,55.06952944,2.946554071,87.61790794
1,2.08E-05,54.77841943,2.977181703,88.1289175
1,2.09E-05,54.48706463,3.007915618,88.63677278
1,2.10E-05,54.19547159,3.03875489,89.14147032
1,2.11E-05,53.90364684,3.069698594,89.64300675
1,2.12E-05,53.61159692,3.100745802,90.14137879
1,2.13E-05,53.31932835,3.131895589,90.63658322
